DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.01563,0.006836,0.007812,0.01074,0.02344,0.01563,0.01465,0.003906,0.01172,0.1416,0.01563,0.001953,0.2617,0.1201
0.01465,0.006836,0.007812,0.01074,0.02344,0.0166,0.01563,0.00293,0.01172,0.1416,0.01465,0.000977,0.2588,0.11426
0.01465,0.007812,0.007812,0.009766,0.02246,0.0166,0.0166,0.004883,0.009766,0.1426,0.01367,0.000977,0.2559,0.1162
0.01465,0.007812,0.00879,0.00879,0.02051,0.01758,0.0166,0.003906,0.00879,0.1426,0.01367,0.000977,0.255,0.1113
0.01465,0.00879,0.00879,0.007812,0.01855,0.0166,0.01563,0.004883,0.00879,0.1436,0.01367,0.001953,0.254,0.1113
0.01465,0.00879,0.009766,0.006836,0.01953,0.0166,0.01758,0.004883,0.007812,0.1436,0.01563,0.000977,0.253,0.1084
0.01563,0.009766,0.01172,0.006836,0.01953,0.01367,0.01758,0.004883,0.007812,0.1436,0.0166,0.0,0.25,0.1094
0.01465,0.01074,0.01172,0.00586,0.01758,0.01367,0.01563,0.004883,0.00586,0.1445,0.0166,0.001953,0.248,0.10645
0.0166,0.01172,0.01172,0.00586,0.01563,0.012695,0.01563,0.00586,0.006836,0.1455,0.01758,0.000977,0.2471,0.10645
0.0166,0.012695,0.01172,0.006836,0.01563,0.01172,0.01465,0.00586,0.006836,0.1455,0.01855,0.0,0.2441,0.10156
0.0166,0.01465,0.01172,0.007812,0.01563,0.009766,0.01563,0.00586,0.006836,0.1465,0.01855,0.000977,0.2441,0.1035
0.01855,0.01465,0.01074,0.007812,0.01465,0.00879,0.0166,0.00586,0.00586,0.1465,0.01953,0.001953,0.2432,0.09863
0.01855,0.01563,0.009766,0.00879,0.01367,0.007812,0.0166,0.007812,0.00586,0.1475,0.02051,0.001953,0.2422,0.0996
0.02051,0.01758,0.007812,0.009766,0.012695,0.007812,0.01855,0.006836,0.004883,0.1475,0.02051,0.000977,0.2422,0.0957
0.02148,0.01758,0.006836,0.01074,0.01172,0.00586,0.01855,0.007812,0.00586,0.1484,0.02148,0.000977,0.2412,0.0967
0.02246,0.02051,0.00586,0.009766,0.01172,0.00586,0.01953,0.00879,0.004883,0.1484,0.02246,0.0,0.2412,0.09375
0.02148,0.02148,0.00586,0.009766,0.01074,0.00586,0.02051,0.00879,0.004883,0.1494,0.02246,0.000977,0.2393,0.0947
0.02051,0.01953,0.00586,0.009766,0.01172,0.004883,0.01855,0.009766,0.00586,0.1494,0.02441,0.001953,0.2363,0.0918
0.02051,0.01758,0.00586,0.009766,0.01074,0.004883,0.01953,0.009766,0.00586,0.1504,0.02637,0.000977,0.2334,0.09375
0.01758,0.0166,0.00586,0.00879,0.009766,0.004883,0.01855,0.009766,0.00586,0.1504,0.02734,0.000977,0.2334,0.0918
0.0166,0.01465,0.006836,0.007812,0.00879,0.003906,0.01758,0.00879,0.006836,0.1514,0.02832,0.001953,0.2324,0.0918
0.01563,0.01367,0.006836,0.00879,0.006836,0.004883,0.01758,0.009766,0.006836,0.1514,0.0293,0.000977,0.2334,0.08887
0.01367,0.01367,0.007812,0.007812,0.006836,0.00586,0.01563,0.00879,0.00586,0.1523,0.03125,0.000977,0.2314,0.08984
0.012695,0.01367,0.00879,0.007812,0.006836,0.00586,0.0166,0.009766,0.003906,0.1523,0.03223,0.000977,0.2314,0.0869
0.01074,0.012695,0.007812,0.007812,0.006836,0.00586,0.0166,0.01074,0.004883,0.1523,0.03516,0.000977,0.2295,0.08887
0.01074,0.012695,0.006836,0.007812,0.00586,0.006836,0.01563,0.01074,0.004883,0.1533,0.03613,0.0,0.2285,0.08594
0.009766,0.012695,0.007812,0.007812,0.00586,0.00586,0.012695,0.01074,0.004883,0.1543,0.0371,0.000977,0.2285,0.08594
0.009766,0.01172,0.00586,0.007812,0.004883,0.004883,0.012695,0.00879,0.00586,0.1543,0.0381,0.000977,0.2285,0.084
0.009766,0.01074,0.00586,0.00879,0.003906,0.00586,0.012695,0.007812,0.00586,0.1553,0.04004,0.000977,0.2295,0.08496
0.00879,0.012695,0.006836,0.007812,0.003906,0.00586,0.01172,0.007812,0.006836,0.1562,0.042,0.0,0.2295,0.08203
0.007812,0.012695,0.007812,0.007812,0.004883,0.00586,0.01172,0.007812,0.006836,0.1562,0.04395,0.000977,0.2295,0.083
0.007812,0.012695,0.007812,0.00879,0.003906,0.00586,0.01074,0.007812,0.00586,0.1562,0.04492,0.000977,0.2295,0.08105
0.007812,0.01172,0.006836,0.007812,0.004883,0.006836,0.01074,0.00586,0.004883,0.1562,0.04785,0.0,0.2295,0.08203
0.007812,0.01074,0.004883,0.00586,0.00586,0.006836,0.00879,0.00586,0.003906,0.1572,0.04883,0.000977,0.2295,0.0801
0.006836,0.009766,0.004883,0.00586,0.006836,0.004883,0.007812,0.004883,0.00293,0.1572,0.05078,0.0,0.2305,0.08105
0.006836,0.00879,0.003906,0.004883,0.00586,0.00586,0.007812,0.004883,0.00293,0.1582,0.05176,0.000977,0.2314,0.0791
0.006836,0.007812,0.00293,0.004883,0.006836,0.004883,0.00879,0.003906,0.003906,0.1572,0.0537,0.000977,0.2314,0.0801
0.006836,0.007812,0.004883,0.004883,0.006836,0.00586,0.007812,0.003906,0.001953,0.1572,0.05566,0.0,0.2324,0.07715
0.007812,0.006836,0.004883,0.00586,0.006836,0.00586,0.00879,0.004883,0.00293,0.1572,0.05762,0.0,0.2324,0.0781
0.006836,0.006836,0.00586,0.006836,0.00879,0.00586,0.00879,0.00586,0.00293,0.1572,0.0586,0.000977,0.2334,0.0752
0.00879,0.007812,0.00586,0.006836,0.00879,0.00586,0.00879,0.00586,0.001953,0.1582,0.06055,0.0,0.2344,0.0762
0.00879,0.006836,0.00586,0.006836,0.00879,0.00586,0.00879,0.006836,0.001953,0.1592,0.0635,0.0,0.2354,0.07324
0.00879,0.00586,0.00586,0.00586,0.009766,0.006836,0.009766,0.006836,0.00293,0.1592,0.06445,0.0,0.2373,0.0752
0.00879,0.00586,0.00586,0.00586,0.009766,0.00586,0.00879,0.006836,0.00293,0.1592,0.0664,0.0,0.2373,0.07324
0.007812,0.006836,0.00586,0.00586,0.00879,0.006836,0.009766,0.00879,0.00293,0.1602,0.0674,0.0,0.2383,0.0752
0.006836,0.00586,0.00586,0.00586,0.007812,0.006836,0.007812,0.00879,0.00293,0.1611,0.0703,0.000977,0.2373,0.07324
0.00586,0.00586,0.006836,0.006836,0.007812,0.006836,0.00879,0.009766,0.003906,0.1611,0.0713,0.000977,0.2383,0.0742
0.00586,0.00586,0.006836,0.007812,0.009766,0.007812,0.00879,0.01074,0.003906,0.1611,0.07227,0.0,0.2402,0.07324
0.006836,0.00586,0.00586,0.007812,0.00879,0.00586,0.009766,0.01074,0.00293,0.1611,0.0742,0.000977,0.2402,0.07324
0.006836,0.00586,0.00586,0.006836,0.009766,0.006836,0.009766,0.01172,0.003906,0.1621,0.07715,0.001953,0.2402,0.07324
0.007812,0.006836,0.006836,0.006836,0.00879,0.006836,0.00879,0.01172,0.004883,0.1621,0.0781,0.001953,0.2422,0.07324
0.006836,0.00586,0.006836,0.007812,0.009766,0.006836,0.009766,0.012695,0.003906,0.1631,0.07715,0.000977,0.2432,0.07324
0.006836,0.00586,0.006836,0.006836,0.01074,0.00586,0.00879,0.01367,0.004883,0.1631,0.0781,0.001953,0.2422,0.07324
0.006836,0.006836,0.00586,0.007812,0.009766,0.006836,0.007812,0.01465,0.004883,0.1641,0.07715,0.000977,0.2432,0.07227
